,name,state,website,city
0, Bogue's Restaurant,Alabama,https://www.facebook.com/BoguesRestaurant/,Birmingham
1, Snow City Cafe,Alaska,http://www.snowcitycafe.com,Anchorage
2, Matt's Big Breakfast,Arizona,http://mattsbigbreakfast.com,Phoenix and Tempe
3, The Pancake Shop,Arkansas,https://www.pancakeshop.com,Hot Springs
4, Arizmendi Bakery,California,http://www.arizmendibakery.com,San Francisco
5, Snooze,Colorado,http://snoozeeatery.com,Denver and elsewhere
6, Bella's Cafe,Connecticut,http://www.bellascafect.com,New Haven
7, Angelo's Luncheonette,Delaware,https://www.facebook.com/Angelos-Luncheonette-114313245253203/,Wilmington
8, Keke's Breakfast Cafe,Florida,https://www.kekes.com,"Orlando, Gainesville, and elsewhere"
9, West Egg Café,Georgia,http://www.westeggcafe.com,Atlanta
10, Eggs 'n Things,Hawaii,https://www.eggsnthings.com,Honolulu (multiple locations)
11, Goldy's Breakfast Bistro,Idaho,http://goldysbreakfastbistro.com,Boise
12, Hollywood Grill,Illinois,http://www.hollywood-grill.com,Chicago
13, Village Deli,Indiana,http://www.villagedeli.biz,Bloomington
14, Hamburg Inn No. 2,Iowa,http://www.hamburginn2.com,Iowa City
15, The Chef Cafe,Kansas,http://thechefcafe.com,Manhattan
16, Lexington Diner,Kentucky,http://www.lexingtondiner.com,Lexington
17, Surrey's Cafe & Juice Bar,Louisiana,http://www.surreysnola.com,New Orleans
18, Palace Diner,Maine,http://www.palacedinerme.com,Biddeford
19, Miss Shirley's Cafe,Maryland,https://www.missshirleys.com,Annapolis and Baltimore
20, Mike & Patty's,Massachusetts,https://mikeandpattys.com,Boston
21, Fleetwood Diner,Michigan,http://thefleetwooddiner.com,Ann Arbor and Lansing
22, Pannekoeken Huis,Minnesota,https://www.facebook.com/PannekoekenHuis/,Minneapolis
23, Big Bad Breakfast,Mississippi,https://bigbadbreakfast.com/locations/oxford-mississippi,Oxford
24, Rooster,Missouri,http://roosterstl.com,St. Louis
25, Jam!,Montana,https://jamonmain.com,Bozeman
26, Over Easy,Nebraska,https://www.instagram.com/overeasyomaha/,Omaha
27, Mr. Mamas Breakfast & Lunch,Nevada,http://www.mrmamaslv.com,Las Vegas
28, Red Arrow Diner,New Hampshire,http://redarrowdiner.com,Manchester and elsewhere
29, Sam A.M.,New Jersey,http://sam-am.com,Jersey City
30, Tia B's La Waffleria,New Mexico,http://www.www.lawaffleriaabq.com,Albuquerque
31, Reben Luncheonette 'Morir Soñando',New York,https://www.yelp.com/biz/reben-luncheonette-morir-so%C3%B1and-brooklyn,Brooklyn
32, Sunrise Biscuit Kitchen,North Carolina,http://www.sunrisebiscuits.com,Chapel Hill
33, Kroll's Diner,North Dakota,https://sitdownandeat.com,Fargo and elsewhere
34, Tucker's Restaurant,Ohio,https://www.facebook.com/TuckersRestaurantOTR,Cincinnati
35, Dilly Diner,Oklahoma,http://dillydiner.com,Tulsa
36, Pine State Biscuits,Oregon,https://www.pinestatebiscuits.com,Portland
37, Federal Donuts,Pennsylvania,http://www.federaldonuts.com,Philadelphia
38, Green Eggs,Rhode Island,https://www.facebook.com/Green-Eggs-Restaurant-1581032412204707/,Bristol
39, Callie's Hot Little Biscuit,South Carolina,https://calliesbiscuits.com/pages/hot-little-biscuit-landing,Charleston
40, Baker's Bakery & Cafe,South Dakota,https://blog.cheapism.com/cheap-rv-vacations/,Custer
41, Bryant's Breakfast,Tennessee,http://bryantsmemphis.com/,Memphis
42, Mi Madre's Restaurant,Texas,http://www.mimadresrestaurant.com,Austin
43, Sill's Cafe,Utah,https://www.facebook.com/Sills-Cafe-113489775350247/,Layton
44, Penny Cluse Cafe,Vermont,http://www.pennycluse.com,Burlington
45, Dixie Restaurant,Virginia,https://www.facebook.com/thedixierestaurant/,Petersburg
46, The Braeburn Restaurant,Washington,https://braeburnlangley.com,Langley
47, Blue White Grill,West Virginia,https://www.bluewhitegrill.com,Martinsburg
48, Al Johnson's Swedish Restaurant & Butik,Wisconsin,http://aljohnsons.com,Sister Bay
49, Sherrie's Place,Wyoming,https://www.facebook.com/SherriesPlace/,Casper
